iter	Logloss
0	0.6910868239
1	0.6890627391
2	0.6878386329
3	0.6866353598
4	0.6857370887
5	0.684224134
6	0.6823082139
7	0.6816326942
8	0.6805358272
9	0.6798385027
10	0.6787733833
11	0.6769454525
12	0.6758427781
13	0.6739982648
14	0.6727828736
15	0.6713620511
16	0.6709061867
17	0.669204715
18	0.6679693607
19	0.667441436
20	0.6669667423
21	0.6658375302
22	0.6643631545
23	0.6626842211
24	0.6619409458
25	0.6615475197
26	0.6611563492
27	0.6599894607
28	0.6591690551
29	0.6586036978
30	0.6579897289
31	0.657585838
32	0.6567521002
33	0.6561095895
34	0.6554518867
35	0.6548813898
36	0.654454391
37	0.654035431
38	0.6529013607
39	0.6521397825
40	0.6510150556
41	0.6501687382
42	0.6494785492
43	0.6481255172
44	0.6474674018
45	0.6465369813
46	0.6462144094
47	0.6458596614
48	0.6452235702
49	0.6449134325
50	0.6437046451
51	0.6428698643
52	0.6425550414
53	0.6421102498
54	0.6416654104
55	0.6407455134
56	0.6398964101
57	0.6396501817
58	0.6394071745
59	0.6381133605
60	0.6379779918
61	0.6370979922
62	0.6365159302
63	0.6362386081
64	0.635657062
65	0.6353884311
66	0.6345611731
67	0.6342124525
68	0.6338606443
69	0.6337473203
70	0.6334970952
71	0.6331420031
72	0.6330344243
73	0.6327943574
74	0.6324499254
75	0.6319726144
76	0.631363974
77	0.6312657419
78	0.6307131368
79	0.6301264445
80	0.6298065553
81	0.6286085021
82	0.6281122692
83	0.6275920724
84	0.6274162349
85	0.6269418275
86	0.6261007517
87	0.6259309636
88	0.6253631779
89	0.6250868625
90	0.6247520306
91	0.6241169541
92	0.6237213842
93	0.6233247831
94	0.6225815661
95	0.6224052117
96	0.6221639699
97	0.6217103153
98	0.6205316084
99	0.619811394
100	0.6195480991
101	0.6194073089
102	0.6189074135
103	0.6187546823
104	0.6182652303
105	0.6181320544
106	0.6171175711
107	0.6163428241
108	0.6161952438
109	0.6160676823
110	0.61584802
111	0.6157060453
112	0.615453761
113	0.6154016207
114	0.6143106522
115	0.6141795249
116	0.6141303144
117	0.6135323525
118	0.6133359099
119	0.6129696578
120	0.6119140763
121	0.6117901831
122	0.6115117468
123	0.6112923047
124	0.6109524837
125	0.6105227591
126	0.6104080288
127	0.6094915882
128	0.6091785436
129	0.6090770387
130	0.6084484178
131	0.6081215543
132	0.6079602865
133	0.607295594
134	0.6063165423
135	0.6061413517
136	0.6059097776
137	0.605625094
138	0.6050398077
139	0.6049441675
140	0.6047650933
141	0.6043913388
142	0.6042483877
143	0.6040971222
144	0.6037945226
145	0.6035469039
146	0.6030531465
147	0.6026781175
148	0.6017574786
149	0.6015717555
150	0.601459139
151	0.6013822418
152	0.6013568509
153	0.601231256
154	0.600638931
155	0.6005092312
156	0.6002621607
157	0.6001881297
158	0.5996123269
159	0.5995410176
160	0.599401966
161	0.5989722133
162	0.5987113163
163	0.5985757627
164	0.5983823567
165	0.5979703782
166	0.5971984484
167	0.5969612946
168	0.5965054656
169	0.5960829381
170	0.595865197
171	0.5955765883
172	0.5955600337
173	0.5955431763
174	0.5954825976
175	0.5952898076
176	0.5952080867
177	0.5951444872
178	0.5950238885
179	0.594871724
180	0.5946682251
181	0.5946540175
182	0.5944537558
183	0.5941231257
184	0.5937445524
185	0.5931963199
186	0.5929349215
187	0.5927994324
188	0.5927290357
189	0.5925319755
190	0.5925207191
191	0.5920021429
192	0.5912900187
193	0.5912510619
194	0.5910894515
195	0.5910400099
196	0.5910284326
197	0.591017187
198	0.5910070243
199	0.5909401141
200	0.5903035202
201	0.5902548738
202	0.5900130405
203	0.5899682186
204	0.5897810521
205	0.589295482
206	0.5890830315
207	0.5888306744
208	0.5888226151
209	0.5882700486
210	0.5880812668
211	0.5875409281
212	0.5867826573
213	0.5867396893
214	0.5867320482
215	0.586501808
216	0.5863367163
217	0.5858151769
218	0.5856705761
219	0.5855638233
220	0.585525914
221	0.5852540625
222	0.5848422727
223	0.584561468
224	0.5845343666
225	0.5843921314
226	0.5843857183
227	0.5837562036
228	0.5837501478
229	0.5836502877
230	0.5834996961
231	0.5830736033
232	0.5830676353
233	0.5829280096
234	0.5828329782
235	0.582799227
236	0.5827652287
237	0.582732343
238	0.5827047825
239	0.5826987371
240	0.5819916245
241	0.581856001
242	0.5816749925
243	0.5813337829
244	0.5808674655
245	0.5805684543
246	0.5800304195
247	0.5796370432
248	0.5793947439
249	0.5793706054
250	0.5793000716
251	0.5787792116
252	0.5784377173
253	0.5778645209
254	0.5777244248
255	0.5771587734
256	0.5768108791
257	0.5766685688
258	0.5761759245
259	0.5758595903
260	0.5758561975
261	0.5756035846
262	0.5754556287
263	0.5751144982
264	0.5750952929
265	0.575018436
266	0.5746458725
267	0.5746426807
268	0.5745099262
269	0.5742666759
270	0.5742640724
271	0.5742272446
272	0.5738237965
273	0.573474668
274	0.573238673
275	0.5732171445
276	0.5729244879
277	0.5728474646
278	0.5728278259
279	0.5725528961
280	0.5724043185
281	0.5723435178
282	0.5723410199
283	0.5722364738
284	0.5722190076
285	0.5721068901
286	0.5718826353
287	0.5717494344
288	0.5716833642
289	0.5716684567
290	0.571062158
291	0.5710455136
292	0.5710289736
293	0.5709656521
294	0.5707002416
295	0.5706510983
296	0.5705556228
297	0.5705028392
298	0.5703781348
299	0.5702596346
300	0.5702061128
301	0.5701429376
302	0.5697905812
303	0.5697721035
304	0.5697044991
305	0.5694798436
306	0.5694636823
307	0.5694626142
308	0.5694409277
