iter	Passed	Remaining
406	1388	2023
407	1391	2019
408	1394	2015
409	1396	2010
410	1399	2005
411	1401	1999
412	1403	1994
413	1406	1990
414	1412	1990
415	1414	1985
416	1416	1980
417	1419	1976
418	1421	1971
419	1425	1968
420	1428	1963
421	1431	1960
422	1434	1956
423	1437	1952
424	1439	1947
425	1441	1941
426	1443	1936
427	1445	1931
428	1448	1927
429	1449	1921
430	1452	1917
431	1455	1913
432	1457	1907
433	1460	1905
434	1463	1901
435	1465	1896
436	1468	1892
437	1471	1888
438	1474	1884
439	1476	1879
440	1478	1874
441	1480	1868
442	1481	1863
443	1485	1860
444	1487	1854
445	1490	1851
446	1492	1847
447	1495	1842
448	1498	1839
449	1500	1834
450	1503	1830
451	1505	1825
452	1507	1820
453	1508	1814
454	1511	1810
455	1514	1807
456	1516	1802
457	1519	1798
458	1522	1794
459	1525	1790
460	1528	1787
461	1531	1783
462	1533	1778
463	1536	1774
464	1538	1770
465	1542	1767
466	1543	1762
467	1545	1757
468	1548	1753
469	1551	1749
470	1554	1745
471	1555	1740
472	1559	1737
473	1562	1733
474	1563	1728
475	1566	1724
476	1568	1719
477	1570	1714
478	1572	1710
479	1574	1705
480	1576	1700
481	1578	1696
482	1580	1691
483	1582	1687
484	1584	1682
485	1586	1677
486	1589	1674
487	1592	1670
488	1594	1666
489	1597	1662
490	1599	1658
491	1602	1654
492	1604	1650
493	1607	1647
494	1610	1643
495	1614	1640
496	1617	1636
497	1619	1632
498	1623	1629
499	1626	1626
500	1629	1622
501	1630	1617
502	1633	1614
503	1641	1615
504	1643	1610
505	1649	1609
506	1653	1607
507	1656	1604
508	1660	1601
509	1663	1598
510	1670	1598
511	1672	1594
512	1677	1592
513	1679	1587
514	1682	1584
515	1687	1582
516	1690	1579
517	1693	1576
518	1696	1572
519	1705	1574
520	1707	1569
521	1709	1565
522	1715	1564
523	1718	1561
524	1723	1559
525	1743	1570
526	1751	1572
527	1753	1567
528	1759	1566
529	1765	1565
530	1768	1561
531	1770	1557
532	1774	1554
533	1777	1551
534	1780	1547
535	1785	1545
536	1789	1542
537	1793	1540
538	1796	1536
539	1812	1544
540	1815	1540
541	1818	1536
542	1821	1532
543	1823	1528
544	1826	1524
545	1829	1521
546	1831	1516
547	1834	1512
548	1836	1508
549	1838	1504
550	1841	1500
551	1844	1497
552	1847	1493
553	1849	1488
554	1852	1485
555	1854	1481
556	1856	1476
557	1858	1472
558	1859	1467
559	1861	1462
560	1863	1458
561	1866	1454
562	1869	1451
563	1874	1448
564	1876	1444
565	1878	1440
566	1881	1436
567	1883	1432
568	1885	1428
569	1887	1423
570	1889	1419
571	1891	1415
572	1894	1411
573	1897	1408
574	1899	1404
575	1901	1400
576	1903	1395
577	1905	1391
578	1908	1387
579	1910	1383
580	1914	1380
581	1917	1377
582	1918	1372
583	1920	1368
584	1922	1363
585	1925	1360
586	1927	1356
587	1931	1353
588	1934	1350
589	1938	1346
590	1941	1343
591	1944	1340
592	1947	1336
593	1949	1332
594	1951	1328
595	1954	1325
596	1957	1321
597	1959	1317
598	1962	1314
599	1965	1310
600	1967	1306
601	1969	1301
602	1970	1297
603	1974	1294
604	1975	1289
605	1977	1285
606	1979	1281
607	1983	1278
608	1985	1274
609	1986	1270
610	1990	1267
611	1994	1264
612	1997	1261
613	2001	1258
614	2005	1255
615	2009	1252
616	2011	1248
617	2012	1244
618	2015	1240
619	2020	1238
620	2024	1235
621	2026	1231
622	2028	1227
623	2031	1223
624	2034	1220
625	2038	1217
626	2047	1217
627	2049	1214
628	2053	1211
629	2056	1208
630	2060	1204
631	2062	1200
632	2064	1197
633	2067	1193
634	2069	1189
635	2072	1186
636	2074	1182
637	2076	1178
638	2078	1174
639	2081	1170
640	2083	1166
641	2087	1164
642	2091	1161
643	2095	1158
644	2098	1154
645	2106	1154
646	2109	1151
647	2111	1147
648	2114	1143
649	2119	1141
650	2123	1138
651	2125	1134
652	2127	1130
653	2130	1127
654	2133	1123
655	2135	1119
656	2137	1115
657	2139	1111
658	2143	1109
659	2146	1105
660	2148	1101
661	2161	1103
662	2169	1102
663	2185	1105
664	2204	1110
665	2208	1107
666	2212	1104
667	2214	1100
668	2218	1097
669	2220	1093
670	2339	1147
671	2341	1142
672	2343	1138
673	2347	1135
674	2350	1131
675	2353	1127
676	2355	1123
677	2358	1120
678	2360	1115
679	2368	1114
680	2371	1110
681	2383	1111
682	2386	1107
683	2389	1103
684	2394	1100
685	2401	1099
686	2405	1096
687	2415	1095
688	2420	1092
689	2504	1125
690	2507	1121
691	2516	1120
692	2519	1116
693	2523	1112
694	2529	1110
695	2561	1118
696	2563	1114
697	2565	1109
698	2570	1106
699	2574	1103
700	2597	1107
701	2599	1103
702	2604	1100
703	2608	1096
704	2635	1102
705	2637	1098
706	2639	1093
707	2646	1091
708	2648	1086
709	2650	1082
710	2652	1078
711	2665	1078
712	2667	1073
713	2669	1069
714	2678	1067
715	2682	1064
716	2685	1059
717	2692	1057
718	2694	1053
719	2697	1048
720	2700	1045
721	2706	1042
722	2709	1037
723	2728	1040
724	2730	1035
725	2732	1031
726	2734	1026
727	2739	1023
728	2741	1019
729	2757	1019
730	2761	1016
731	2763	1011
732	2767	1008
733	2771	1004
734	2775	1000
735	2780	997
736	2794	997
737	2799	993
738	2816	994
739	2818	990
740	2822	986
741	2829	983
742	2837	981
743	2846	979
744	2850	975
745	2863	974
746	2865	970
747	2868	966
748	2874	963
749	2877	959
750	2881	955
751	2887	952
752	2892	948
753	2898	945
754	2910	944
755	2912	940
756	2920	937
757	2923	933
758	2925	928
759	2929	925
760	2931	920
761	2941	918
762	2944	914
763	2956	913
764	2973	913
765	2975	908
766	2980	905
767	2992	903
768	3003	902
769	3007	898
770	3010	894
771	3017	891
772	3020	886
773	3022	882
774	3024	878
775	3031	875
776	3035	871
777	3037	866
778	3040	862
779	3043	858
780	3047	854
781	3050	850
782	3054	846
783	3057	842
784	3064	839
785	3067	835
786	3069	830
787	3075	827
788	3082	824
789	3085	820
790	3088	816
791	3096	813
792	3098	808
793	3103	805
794	3109	801
795	3112	797
796	3125	796
797	3129	792
798	3132	787
799	3134	783
800	3138	779
801	3141	775
802	3145	771
803	3169	772
804	3173	768
805	3177	764
806	3179	760
807	3184	756
808	3188	752
809	3191	748
810	3196	744
811	3199	740
812	3204	737
813	3207	732
814	3213	729
815	3215	725
816	3218	720
817	3222	716
818	3226	712
819	3228	708
820	3233	704
821	3237	700
822	3241	697
823	3244	693
824	3249	689
825	3251	684
826	3255	680
827	3258	676
828	3261	672
829	3264	668
830	3266	664
831	3269	660
832	3271	655
833	3273	651
834	3277	647
835	3280	643
836	3284	639
837	3287	635
838	3294	632
839	3297	628
840	3303	624
841	3310	621
842	3315	617
843	3319	613
844	3326	610
845	3330	606
846	3334	602
847	3337	598
848	3342	594
849	3345	590
850	3349	586
851	3351	582
852	3354	578
853	3358	574
854	3361	569
855	3364	565
856	3367	561
857	3370	557
858	3380	554
859	3386	551
860	3391	547
861	3395	543
862	3400	539
863	3403	535
864	3417	533
865	3419	529
866	3422	525
867	3426	521
868	3431	517
869	3433	513
870	3436	508
871	3438	504
872	3442	500
873	3446	496
874	3449	492
875	3452	488
876	3455	484
877	3459	480
878	3463	476
879	3466	472
880	3469	468
881	3471	464
882	3473	460
883	3482	457
884	3486	453
885	3489	448
886	3494	445
887	3498	441
888	3500	437
889	3503	433
890	3508	429
891	3511	425
892	3514	421
893	3517	417
894	3519	412
895	3523	408
896	3525	404
897	3530	401
898	3533	397
899	3537	393
900	3549	389
901	3556	386
902	3560	382
903	3562	378
904	3566	374
905	3571	370
906	3574	366
907	3577	362
908	3581	358
909	3585	354
910	3589	350
911	3592	346
912	3594	342
913	3598	338
914	3605	334
915	3608	330
916	3611	326
917	3615	322
918	3620	319
919	3622	315
920	3624	310
921	3627	306
922	3633	303
923	3636	299
924	3640	295
925	3643	291
926	3647	287
927	3650	283
928	3654	279
929	3656	275
930	3659	271
931	3665	267
932	3669	263
933	3672	259
934	3674	255
935	3678	251
936	3683	247
937	3687	243
938	3693	239
939	3697	235
940	3701	232
941	3704	228
942	3709	224
943	3712	220
944	3716	216
945	3719	212
946	3723	208
947	3727	204
948	3730	200
949	3733	196
950	3736	192
951	3740	188
952	3743	184
953	3746	180
954	3747	176
955	3749	172
956	3752	168
957	3756	164
958	3759	160
959	3761	156
960	3764	152
961	3773	149
962	3780	145
963	3785	141
964	3788	137
965	3794	133
966	3797	129
967	3801	125
968	3803	121
969	3807	117
970	3810	113
971	3814	109
972	3817	105
973	3821	102
974	3829	98
975	3837	94
976	3843	90
977	3846	86
978	3852	82
979	3855	78
980	3859	74
981	3862	70
982	3865	66
983	3869	62
984	3872	58
985	3875	55
986	3880	51
987	3884	47
988	3888	43
989	3891	39
990	3896	35
991	3898	31
992	3900	27
993	3904	23
994	3907	19
995	3909	15
996	3913	11
997	3916	7
998	3919	3
999	3923	0
